2016-10-25 16:44:16 ('connect by ', ('10.0.0.2', 35272))
2016-10-25 16:44:50 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 16:57:50 ('connect by ', ('10.0.0.2', 35273))
2016-10-25 16:57:50 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 16:58:26 ('connect by ', ('10.0.0.2', 35274))
2016-10-25 16:58:26 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 16:59:11 ('connect by ', ('10.0.0.2', 35275))
2016-10-25 16:59:11 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 16:59:35 ('connect by ', ('10.0.0.2', 35276))
2016-10-25 16:59:35 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:00:07 ('connect by ', ('10.0.0.2', 35277))
2016-10-25 17:00:07 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:01:25 ('connect by ', ('10.0.0.2', 35278))
2016-10-25 17:01:25 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:01:44 ('connect by ', ('10.0.0.2', 35279))
2016-10-25 17:01:44 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:02:03 ('connect by ', ('10.0.0.2', 35280))
2016-10-25 17:02:03 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:06:14 ('connect by ', ('10.0.0.2', 35281))
2016-10-25 17:06:14 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:12:09 ('connect by ', ('10.0.0.2', 35282))
2016-10-25 17:12:09 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:12:27 ('connect by ', ('10.0.0.2', 35283))
2016-10-25 17:12:27 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:26:46 ('connect by ', ('10.0.0.2', 35284))
2016-10-25 17:26:47 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:28:02 ('connect by ', ('10.0.0.2', 35285))
2016-10-25 17:28:02 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:34:15 ('connect by ', ('10.0.0.2', 35286))
2016-10-25 17:34:15 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:39:43 ('connect by ', ('10.0.0.2', 35287))
2016-10-25 17:39:43 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:40:10 ('connect by ', ('10.0.0.2', 35288))
2016-10-25 17:40:10 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:52:43 ('connect by ', ('10.0.0.2', 35289))
2016-10-25 17:52:43 ('Error Message: ', ValueError('No JSON object could be decoded',))
2016-10-25 17:57:17 ('connect by ', ('10.0.0.2', 35290))
2016-10-25 17:57:17 ('Error Message: ', ValueError('Invalid format string',))
2016-10-25 17:59:08 ('connect by ', ('10.0.0.2', 35291))
2016-10-25 18:02:19 ('connect by ', ('10.0.0.2', 35292))
2016-10-25 18:10:31 ('connect by ', ('10.0.0.2', 35293))
2016-10-25 18:13:20 ('connect by ', ('10.0.0.2', 35294))
2016-10-25 18:15:06 ('connect by ', ('10.0.0.2', 35295))
2016-12-21 17:08:01 ('connect by ', ('10.0.0.3', 48275))
